quorum_check_enabled,ongaro_lease_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,end_ts,writes,reads
False,False,False,False,False,149577,0,1
False,False,False,False,False,149883,1,0
False,False,False,False,False,150141,1,0
False,False,False,False,False,150325,0,1
False,False,False,False,False,150396,0,1
False,False,False,False,False,150794,0,1
False,False,False,False,False,151118,0,1
False,False,False,False,False,151334,1,0
False,False,False,False,False,151550,1,0
False,False,False,False,False,151667,0,1
False,False,False,False,False,151986,0,1
False,False,False,False,False,152282,1,0
False,False,False,False,False,152304,0,1
False,False,False,False,False,153404,0,1
False,False,False,False,False,153489,0,1
False,False,False,False,False,153631,0,1
False,False,False,False,False,154118,0,1
False,False,False,False,False,154276,1,0
False,False,False,False,False,154497,1,0
False,False,False,False,False,155092,1,0
False,False,False,False,False,155231,0,1
False,False,False,False,False,155816,0,1
False,False,False,False,False,156267,0,1
False,False,False,False,False,156557,1,0
False,False,False,False,False,156854,1,0
False,False,False,False,False,156961,0,1
False,False,False,False,False,157131,0,1
False,False,False,False,False,157348,0,1
False,False,False,False,False,157645,0,1
False,False,False,False,False,158147,0,1
False,False,False,False,False,158464,1,0
False,False,False,False,False,158718,1,0
False,False,False,False,False,159025,0,1
False,False,False,False,False,159071,0,1
False,False,False,False,False,159323,0,1
False,False,False,False,False,159943,0,1
False,False,False,False,False,160231,0,1
False,False,False,False,False,160435,1,0
False,False,False,False,False,160511,0,1
False,False,False,False,False,160713,1,0
False,False,False,False,False,161043,0,1
False,False,False,False,False,161250,0,1
False,False,False,False,False,162236,0,1
False,False,False,False,False,162239,1,0
False,False,False,False,False,162375,0,1
False,False,False,False,False,162466,1,0
False,False,False,False,False,162621,0,1
False,False,False,False,False,163729,1,0
False,False,False,False,False,163741,0,1
False,False,False,False,False,163745,0,1
False,False,False,False,False,163945,1,0
False,False,False,False,False,163997,0,1
False,False,False,False,False,164684,0,1
False,False,False,False,False,165160,1,0
False,False,False,False,False,165776,0,1
False,False,False,False,False,165888,0,1
False,False,False,False,False,166353,0,1
False,False,False,False,False,166470,0,1
False,False,False,False,False,166981,1,0
False,False,False,False,False,167049,0,1
False,False,False,False,False,167311,0,1
False,False,False,False,False,167538,1,0
False,False,False,False,False,167748,0,1
False,False,False,False,False,168913,1,0
False,False,False,False,False,169000,0,1
False,False,False,False,False,169489,0,1
False,False,False,False,False,169505,0,1
False,False,False,False,False,169627,1,0
False,False,False,False,False,170014,0,1
False,False,False,False,False,170092,1,0
False,False,False,False,False,170344,1,0
False,False,False,False,False,170345,0,1
False,False,False,False,False,170602,0,1
False,False,False,False,False,171571,0,1
False,False,False,False,False,171726,0,1
False,False,False,False,False,171822,0,1
False,False,False,False,False,171893,0,1
False,False,False,False,False,172034,0,1
False,False,False,False,False,172415,1,0
False,False,False,False,False,172964,0,1
False,False,False,False,False,173218,1,0
False,False,False,False,False,173457,1,0
False,False,False,False,False,173753,0,1
False,False,False,False,False,173813,0,1
False,False,False,False,False,173849,1,0
False,False,False,False,False,174446,1,0
False,False,False,False,False,174792,0,1
False,False,False,False,False,175842,0,1
False,False,False,False,False,175859,0,1
False,False,False,False,False,175909,0,1
False,False,False,False,False,176490,0,1
False,False,False,False,False,176684,0,1
False,False,False,False,False,176864,1,0
False,False,False,False,False,177115,1,0
False,False,False,False,False,177278,0,1
False,False,False,False,False,177689,0,1
False,False,False,False,False,177922,0,1
False,False,False,False,False,178159,1,0
False,False,False,False,False,178550,0,1
False,False,False,False,False,178955,1,0
False,False,False,False,False,179240,1,0
False,False,False,False,False,179621,0,1
False,False,False,False,False,179707,0,1
False,False,False,False,False,180306,0,1
False,False,False,False,False,181039,1,0
False,False,False,False,False,181048,0,1
False,False,False,False,False,181054,0,1
False,False,False,False,False,181144,0,1
False,False,False,False,False,181416,1,0
False,False,False,False,False,182245,0,1
False,False,False,False,False,182537,1,0
False,False,False,False,False,182650,0,1
False,False,False,False,False,183052,0,1
False,False,False,False,False,183182,0,1
False,False,False,False,False,183497,1,0
False,False,False,False,False,183632,0,1
False,False,False,False,False,183746,0,1
False,False,False,False,False,184152,0,1
False,False,False,False,False,184313,1,0
