write_latency_p90,read_latency_p90,replication_lag,commit_lag,commit_latency,max_clock_error,election_timeout,one_way_latency_mean,one_way_latency_variance,noop_rate,heartbeat_rate,operations,interarrival,stepdown_rate,partition_rate,heal_rate,keyspace_size,zipf_skewness,quorum_check_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,lease_timeout,log_write_micros,check_linearizability,metrics_start_ts,jumpstart_election,seed,ongaro_lease_enabled,real_duration
18270.0,0.0,9106.295897585103,,18036.905868681,200,500000,9000,9000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,True,23.506149041000754
20270.0,0.0,10106.22980931015,,20033.23447118075,200,500000,10000,10000,250000,500000,10000,300,,,,1000,1,False,False,False,False,500000,250,True,1000000,True,1,True,25.709928583004512
2260.0,0.0,1091.6993873978997,,2071.6223326512713,200,500000,1000,1000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,11.877519292058423
4270.0,0.0,2091.359080525414,,4061.2635791881075,200,500000,2000,2000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,13.249807415995747
6260.0,0.0,3095.5017441860464,,6056.452082726479,200,500000,3000,3000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,15.366199249983765
8290.0,0.0,4101.904031800113,,8058.536516055698,200,500000,4000,4000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,17.34819191705901
10270.0,0.0,5098.85956346927,,10048.329979879276,200,500000,5000,5000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,19.751266125007533
12270.0,0.0,6100.534,,12045.474014848658,200,500000,6000,6000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,21.220378083991818
14290.0,0.0,7109.708165031737,,14051.006904487916,200,500000,7000,7000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,23.715018082992174
16290.0,0.0,8110.849338951039,,16048.148793955246,200,500000,8000,8000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,25.27265116700437
18300.0,0.0,9111.098088235294,,18044.527304756313,200,500000,9000,9000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,28.103014707914554
20290.0,0.0,10106.321639068201,,20037.376085130214,200,500000,10000,10000,250000,500000,10000,300,,,,1000,1,False,True,False,False,500000,250,True,1000000,True,1,False,30.185110124992207
