zipf_skewness,expected_success_ratio,expected_throughput_per_sec,experimental_success_ratio,experimental_throughput_per_sec,max_possible_throughput_per_sec
0.0,0.9047921471137089,3015.9738237123634,0.9050221955608878,3016.740651869626,3333.3333333333335
0.1,0.9037878704747939,3012.6262349159797,0.9035716856628674,3011.9056188762247,3333.3333333333335
0.2,0.8998523984471561,2999.507994823854,0.8996376724655069,2998.7922415516896,3333.3333333333335
0.30000000000000004,0.8908639232469016,2969.5464108230053,0.8904559088182363,2968.1863627274547,3333.3333333333335
0.4,0.8735165818119578,2911.721939373193,0.8731037792441512,2910.345930813837,3333.3333333333335
0.5,0.8437799476007184,2812.599825335728,0.8435788842231554,2811.929614077185,3333.3333333333335
0.6000000000000001,0.7987246342676358,2662.415447558786,0.7973677264547091,2657.892421515697,3333.3333333333335
0.7000000000000001,0.7384422311196243,2461.474103732081,0.7358920215956809,2452.9734053189363,3333.3333333333335
0.8,0.6656941348818373,2218.9804496061242,0.6642807438512297,2214.269146170766,3333.3333333333335
0.9,0.5846686520689927,1948.8955068966422,0.5840635872825435,1946.878624275145,3333.3333333333335
1.0,0.5005898886766857,1668.6329622556193,0.5016460707858428,1672.1535692861428,3333.3333333333335
1.1,0.4188918555433398,1396.306185144466,0.42042951409718055,1401.4317136572686,3333.3333333333335
1.2000000000000002,0.34409371371833575,1146.979045727786,0.3440899820035993,1146.9666066786644,3333.3333333333335
1.3,0.27905092919493174,930.1697639831059,0.2795500899820036,931.8336332733453,3333.3333333333335
1.4000000000000001,0.22480239885438813,749.3413295146271,0.22636592681463708,754.5530893821236,3333.3333333333335
1.5,0.1809404493871604,603.1348312905346,0.18205158968206359,606.8386322735453,3333.3333333333335
1.6,0.14620306034468827,487.3435344822943,0.14725494901019795,490.8498300339932,3333.3333333333335
1.7000000000000002,0.11900832543803103,396.69441812677013,0.11923815236952609,397.4605078984203,3333.3333333333335
1.8,0.0978061167881399,326.02038929379967,0.09828914217156569,327.630473905219,3333.3333333333335
1.9000000000000001,0.08125100787813253,270.8366929271084,0.0822123575284943,274.04119176164767,3333.3333333333335
2.0,0.06825343536418771,227.51145121395905,0.06910857828434314,230.36192761447714,3333.3333333333335
